Date,Time,Latitude,Longitude,Max Winds (kt),SS  HWS,RMW nm,Central Pressure (mb),States Affected,Storm Names,States Affected Names,States Affected Names_1,States Affected Names_2,States Affected Names_3,States Affected Names_4,States Affected Names_5,SS HWS max,Central Pressure (mb) min
6/25/1851,2100Z,28.2N,96.8W,80,1,NULL,974,BTX1,NULL,Texas,NULL,NULL,NULL,NULL,NULL,4,927
8/23/1851,2100Z,30.1N,85.7W,100,3,NULL,950,"AFL3,IGA1",Great Middle Florida,Florida, Georgia,NULL,NULL,NULL,NULL,3,950
8/22/1852,1200Z,23.8N,81.1W,90,2,NULL,970,BFL2,NULL,Florida,NULL,NULL,NULL,NULL,NULL,4,927
9/12/1852,0000Z,28.0N,82.8W,70,1,NULL,982,BFL1,NULL,Florida,NULL,NULL,NULL,NULL,NULL,4,927
9/10/1852,2100Z,29.9N,84.4W,90,2,NULL,965,"AFL2,IGA1",Middle Florida,Florida, Georgia,NULL,NULL,NULL,NULL,2,965
10/21/1853,0600Z,30.9N,80.9W,70,1,NULL,965,GA1,NULL,Georgia,NULL,NULL,NULL,NULL,NULL,4,927
6/26/1854,1200Z,26.2N,97.0W,70,1,NULL,982,ATX1,NULL,Texas,NULL,NULL,NULL,NULL,NULL,4,927
9/8/1854,2000Z,31.7N,81.1W,100,3,40,950,"GA3,SC2,DFL1",Great Carolina,Florida, South Carolina, Georgia,NULL,NULL,NULL,3,950
9/18/1854,2100Z,28.9N,95.3W,90,2,NULL,965,BTX2,Matagorda,Texas,NULL,NULL,NULL,NULL,NULL,2,965
9/16/1855,0300Z,29.2N,89.5W,110,3,NULL,945,"LA3,MS3",Middle Gulf Shore,Mississippi, Louisiana,NULL,NULL,NULL,NULL,3,945
8/10/1856,1800Z,29.2N,91.1W,130,4,10,934,LA4,Last Island,Louisiana,NULL,NULL,NULL,NULL,NULL,4,934
8/31/1856,0600Z,30.2N,85.9W,90,2,NULL,965,"AFL2,IAL1,IGA1",Southeastern States,Florida, Georgia, Alabama,NULL,NULL,NULL,2,965
9/13/1857,0000Z,33.9N,78.0W,90,2,NULL,961,NC2,NULL,North Carolina,NULL,NULL,NULL,NULL,NULL,4,927
9/16/1858,1700Z,40.9N,72.2W,80,1,45,976,NY1,New England,New York,NULL,NULL,NULL,NULL,NULL,1,976
9/16/1859,0000Z,30.3N,88.1W,70,1,NULL,982,"AL1,AFL1",NULL,Alabama, Florida,NULL,NULL,NULL,NULL,4,927
10/28/1859,1800Z,27.7N,82.8W,80,1,NULL,974,"BFL2,CFL1",NULL,Florida,NULL,NULL,NULL,NULL,NULL,4,927
8/11/1860,2000Z,29.2N,90.0W,110,3,NULL,945,"LA3,MS3,AL2",NULL,Mississippi, Louisiana, Alabama,NULL,NULL,NULL,4,927
9/15/1860,0400Z,29.3N,89.6W,90,2,NULL,965,"LA2,MS2,AL1",NULL,Mississippi, Louisiana, Alabama,NULL,NULL,NULL,4,927
10/02/1860,1700Z,29.5N,91.4W,90,2,NULL,965,LA2,NULL,Louisiana,NULL,NULL,NULL,NULL,NULL,4,927
8/16/1861,0000Z,24.2N,82.0W,70,1,NULL,978,BFL1,Key West,Florida,NULL,NULL,NULL,NULL,NULL,1,978
9/27/1861,1700Z,34.5N,77.4W,70,1,NULL,985,NC1,Equinoctial,North Carolina,NULL,NULL,NULL,NULL,NULL,1,985
11/02/1861,1000Z,34.7N,76.6W,70,1,NULL,985,NC1,Expedition,North Carolina,NULL,NULL,NULL,NULL,NULL,1,985
9/13/1865,2100Z,29.8N,93.4W,90,2,NULL,965,"LA2,CTX1",Sabine River,Louisiana, Texas,NULL,NULL,NULL,NULL,2,965
10/23/1865,1000Z,24.6N,81.7W,90,2,NULL,969,BFL2,NULL,Florida,NULL,NULL,NULL,NULL,NULL,4,927
7/15/1866,1200Z,28.5N,96.5W,90,2,NULL,965,BTX2,NULL,Texas,NULL,NULL,NULL,NULL,NULL,4,927
6/22/1867,1400Z,32.9N,79.7W,70,1,NULL,985,SC1,NULL,South Carolina,NULL,NULL,NULL,NULL,NULL,4,927
10/02/1867,1500Z,25.4N,97.1W,70,1,NULL,969,ATX1,Galveston,Texas,NULL,NULL,NULL,NULL,NULL,4,936
8/17/1869,0700Z,28.1N,96.8W,90,2,NULL,965,BTX2,Lower Texas Coast,Texas,NULL,NULL,NULL,NULL,NULL,2,965
9/05/1869,1200Z,29.2N,90.0W,70,1,NULL,982,LA1,NULL,Louisiana,NULL,NULL,NULL,NULL,NULL,4,927
10/04/1869,1900Z,41.3N,70.5W,80,1,30,965,MA1,Saxby's Gale,Massachusetts,NULL,NULL,NULL,NULL,NULL,2,965
